Text,Label
ቄቤ ወተትነው በጥቅላላ ከብት,Country
ጥቅምት በከሀድው ጁንታ ከተገደሉ የሰሜን የሀገር መከላከያ ሰራዊት አባላት በከፊል ደጀኔ አሰፋ,Individual
አትሌቱ የሚኒሻ ብርሀኑ ጁላ ሚኒሻ ሰራዊት በምድር ድሮወኑ ፋኖ በታላቅ ጀግንነት ተደብድቦ ወደ ደንበጫ አካባቢ እሬሳውን ለአውሬ አትረፍርፎ የተረፈው እንዳመለጠ ነው የደረሰን መረጃ,Country
የጉሙዝ ሀይል አባላት ከስራቸው እየጠፉ የገባውን በኦነግ የሰለጠውን ታጣቂ እየተቀላቀሉ,Non-Racist
ጥንቃቄ ይደረግ መከላከያ የአማራ ሀይል የአማራ ሚኒሻ መቀሌ ከተማን መቆጣጠሩን ከትናንት በአማራ የደስታ ሰልፎች እየተካሄዱ የደስታ መግለጫ በባህርዳር ወጣት ህይወቱ እንድያልፍ ሰልፉ ዛሬም ቦታወች እየተካሄደ ጥብቅ ጥንቃቄ ሊደረግ,Regional
ይህን መረጃ የሚያነብ የፋሽስቱ ሰራዊት ሰማይ ከፍ መሬት ዝቅ ቢል አማራ በጋል አትገዛም አትሰቡ,Regional
ሴትነት ህፃን በእርግጥ ሁለቱም በዳይፐር ይመሳሰላሉ ህፃን ልጅም ልጅም ዳይፐር ይጠቀማሉ የሚለያዩት የዳይፐር ብራንዱ,Country
ዘረኛ የሚለው ቃል በኦሮምኛ በትግርኛ በስልጥኛና በሁሉም ቋንቋወች ፍች ዘረኛ ስላልሆኑ ከአማርኛ እንዳለ ተበድረው ሲጠቀሙበት የነበረው ባለቤቱ መልሱ እየተባለ,Regional
ትግርኛ ተናጋሪ ብላቹ ዶኽመንተሪ ስትሰሩ አስታውሱ,Non-Racist
የፌደራል በትግራይ የአስቸኳይ አዋጅ አወጀ የፌደራል በትግራይ ለስድስት ወራት የሚቆይ የአስቸኳይ አዋጅ ማወጁን በትግራይ ህገመንግስትንና የህዝብ ሰላም አደጋ የሚጥልና የፌደራል የተሰጠውን ሀላፊነት የሚያደናቅፍ በመከሰቱ መታወጁ ጠቅላይ ሚኒስትር አቢይ አህመድ በትግራይ በሚገኘው መከላከያ ሀይል ህወሀት ጥቃት መሰንዘሩንና እርምጃ እንደሚወስድ ሌሊት አስታውቀው የትግራይ በበኩሉ ጠዋት ባወጣው መግለጫ በክልሉ የእንቅስቃሴ ገደብ ጥሏል,Country
